 Name                     	  bandwidth	frequency 	mode
3600	25000	390000000	7
3601	25000	390025000	7
3602	25000	390050000	7
3603	25000	390075000	7
3604	25000	390100000	7
3605	25000	390125000	7
3606	25000	390150000	7
3607	25000	390175000	7
3608	25000	390200000	7
3609	25000	390225000	7
3610	25000	390250000	7
3611	25000	390275000	7
3612	25000	390300000	7
3613	25000	390325000	7
3614	25000	390350000	7
3615	25000	390375000	7
3616	25000	390400000	7
3617	25000	390425000	7
3618	25000	390450000	7
3619	25000	390475000	7
3620	25000	390500000	7
3621	25000	390525000	7
3622	25000	390550000	7
3623	25000	390575000	7
3624	25000	390600000	7
3625	25000	390625000	7
3626	25000	390650000	7
3627	25000	390675000	7
3628	25000	390700000	7
3629	25000	390725000	7
3630	25000	390750000	7
3631	25000	390775000	7
3632	25000	390800000	7
3633	25000	390825000	7
3634	25000	390850000	7
3635	25000	390875000	7
3636	25000	390900000	7
3637	25000	390925000	7
3638	25000	390950000	7
3639	25000	390975000	7
3640	25000	391000000	7
3641	25000	391025000	7
3642	25000	391050000	7
3643	25000	391075000	7
3644	25000	391100000	7
3645	25000	391125000	7
3646	25000	391150000	7
3647	25000	391175000	7
3648	25000	391200000	7
3649	25000	391225000	7
3650	25000	391250000	7
3651	25000	391275000	7
3652	25000	391300000	7
3653	25000	391325000	7
3654	25000	391350000	7
3655	25000	391375000	7
3656	25000	391400000	7
3657	25000	391425000	7
3658	25000	391450000	7
3659	25000	391475000	7
3660	25000	391500000	7
3661	25000	391525000	7
3662	25000	391550000	7
3663	25000	391575000	7
3664	25000	391600000	7
3665	25000	391625000	7
3666	25000	391650000	7
3667	25000	391675000	7
3668	25000	391700000	7
3669	25000	391725000	7
3670	25000	391750000	7
3671	25000	391775000	7
3672	25000	391800000	7
3673	25000	391825000	7
3674	25000	391850000	7
3675	25000	391875000	7
3676	25000	391900000	7
3677	25000	391925000	7
3678	25000	391950000	7
3679	25000	391975000	7
3680	25000	392000000	7
3681	25000	392025000	7
3682	25000	392050000	7
3683	25000	392075000	7
3684	25000	392100000	7
3685	25000	392125000	7
3686	25000	392150000	7
3687	25000	392175000	7
3688	25000	392200000	7
3689	25000	392225000	7
3690	25000	392250000	7
3691	25000	392275000	7
3692	25000	392300000	7
3693	25000	392325000	7
3694	25000	392350000	7
3695	25000	392375000	7
3696	25000	392400000	7
3697	25000	392425000	7
3698	25000	392450000	7
3699	25000	392475000	7
3700	25000	392500000	7
3701	25000	392525000	7
3702	25000	392550000	7
3703	25000	392575000	7
3704	25000	392600000	7
3705	25000	392625000	7
3706	25000	392650000	7
3707	25000	392675000	7
3708	25000	392700000	7
3709	25000	392725000	7
3710	25000	392750000	7
3711	25000	392775000	7
3712	25000	392800000	7
3713	25000	392825000	7
3714	25000	392850000	7
3715	25000	392875000	7
3716	25000	392900000	7
3717	25000	392925000	7
3718	25000	392950000	7
3719	25000	392975000	7
3720	25000	393000000	7
3721	25000	393025000	7
3722	25000	393050000	7
3723	25000	393075000	7
3724	25000	393100000	7
3725	25000	393125000	7
3726	25000	393150000	7
3727	25000	393175000	7
3728	25000	393200000	7
3729	25000	393225000	7
3730	25000	393250000	7
3731	25000	393275000	7
3732	25000	393300000	7
3733	25000	393325000	7
3734	25000	393350000	7
3735	25000	393375000	7
3736	25000	393400000	7
3737	25000	393425000	7
3738	25000	393450000	7
3739	25000	393475000	7
3740	25000	393500000	7
3741	25000	393525000	7
3742	25000	393550000	7
3743	25000	393575000	7
3744	25000	393600000	7
3745	25000	393625000	7
3746	25000	393650000	7
3747	25000	393675000	7
3748	25000	393700000	7
3749	25000	393725000	7
3750	25000	393750000	7
3751	25000	393775000	7
3752	25000	393800000	7
3753	25000	393825000	7
3754	25000	393850000	7
3755	25000	393875000	7
3756	25000	393900000	7
3757	25000	393925000	7
3758	25000	393950000	7
3759	25000	393975000	7
3760	25000	394000000	7
3761	25000	394025000	7
3762	25000	394050000	7
3763	25000	394075000	7
3764	25000	394100000	7
3765	25000	394125000	7
3766	25000	394150000	7
3767	25000	394175000	7
3768	25000	394200000	7
3769	25000	394225000	7
3770	25000	394250000	7
3771	25000	394275000	7
3772	25000	394300000	7
3773	25000	394325000	7
3774	25000	394350000	7
3775	25000	394375000	7
3776	25000	394400000	7
3777	25000	394425000	7
3778	25000	394450000	7
3779	25000	394475000	7
3780	25000	394500000	7
3781	25000	394525000	7
3782	25000	394550000	7
3783	25000	394575000	7
3784	25000	394600000	7
3785	25000	394625000	7
3786	25000	394650000	7
3787	25000	394675000	7
3788	25000	394700000	7
3789	25000	394725000	7
3790	25000	394750000	7
3791	25000	394775000	7
3792	25000	394800000	7
3793	25000	394825000	7
3794	25000	394850000	7
3795	25000	394875000	7
3796	25000	394900000	7
3797	25000	394925000	7
3798	25000	394950000	7
3799	25000	394975000	7
3800	25000	395000000	7
3801	25000	395025000	7
3802	25000	395050000	7
3803	25000	395075000	7
3804	25000	395100000	7
3805	25000	395125000	7
3806	25000	395150000	7
3807	25000	395175000	7
3808	25000	395200000	7
3809	25000	395225000	7
3810	25000	395250000	7
3811	25000	395275000	7
3812	25000	395300000	7
3813	25000	395325000	7
3814	25000	395350000	7
3815	25000	395375000	7
3816	25000	395400000	7
3817	25000	395425000	7
3818	25000	395450000	7
3819	25000	395475000	7
3820	25000	395500000	7
3821	25000	395525000	7
3822	25000	395550000	7
3823	25000	395575000	7
3824	25000	395600000	7
3825	25000	395625000	7
3826	25000	395650000	7
3827	25000	395675000	7
3828	25000	395700000	7
3829	25000	395725000	7
3830	25000	395750000	7
3831	25000	395775000	7
3832	25000	395800000	7
3833	25000	395825000	7
3834	25000	395850000	7
3835	25000	395875000	7
3836	25000	395900000	7
3837	25000	395925000	7
3838	25000	395950000	7
3839	25000	395975000	7
3840	25000	396000000	7
3841	25000	396025000	7
3842	25000	396050000	7
3843	25000	396075000	7
3844	25000	396100000	7
3845	25000	396125000	7
3846	25000	396150000	7
3847	25000	396175000	7
3848	25000	396200000	7
3849	25000	396225000	7
3850	25000	396250000	7
3851	25000	396275000	7
3852	25000	396300000	7
3853	25000	396325000	7
3854	25000	396350000	7
3855	25000	396375000	7
3856	25000	396400000	7
3857	25000	396425000	7
3858	25000	396450000	7
3859	25000	396475000	7
3860	25000	396500000	7
3861	25000	396525000	7
3862	25000	396550000	7
3863	25000	396575000	7
3864	25000	396600000	7
3865	25000	396625000	7
3866	25000	396650000	7
3867	25000	396675000	7
3868	25000	396700000	7
3869	25000	396725000	7
3870	25000	396750000	7
3871	25000	396775000	7
3872	25000	396800000	7
3873	25000	396825000	7
3874	25000	396850000	7
3875	25000	396875000	7
3876	25000	396900000	7
3877	25000	396925000	7
3878	25000	396950000	7
3879	25000	396975000	7
3880	25000	397000000	7
3881	25000	397025000	7
3882	25000	397050000	7
3883	25000	397075000	7
3884	25000	397100000	7
3885	25000	397125000	7
3886	25000	397150000	7
3887	25000	397175000	7
3888	25000	397200000	7
3889	25000	397225000	7
3890	25000	397250000	7
3891	25000	397275000	7
3892	25000	397300000	7
3893	25000	397325000	7
3894	25000	397350000	7
3895	25000	397375000	7
3896	25000	397400000	7
3897	25000	397425000	7
3898	25000	397450000	7
3899	25000	397475000	7
3900	25000	397500000	7
3901	25000	397525000	7
3902	25000	397550000	7
3903	25000	397575000	7
3904	25000	397600000	7
3905	25000	397625000	7
3906	25000	397650000	7
3907	25000	397675000	7
3908	25000	397700000	7
3909	25000	397725000	7
3910	25000	397750000	7
3911	25000	397775000	7
3912	25000	397800000	7
3913	25000	397825000	7
3914	25000	397850000	7
3915	25000	397875000	7
3916	25000	397900000	7
3917	25000	397925000	7
3918	25000	397950000	7
3919	25000	397975000	7
3920	25000	398000000	7
3921	25000	398025000	7
3922	25000	398050000	7
3923	25000	398075000	7
3924	25000	398100000	7
3925	25000	398125000	7
3926	25000	398150000	7
3927	25000	398175000	7
3928	25000	398200000	7
3929	25000	398225000	7
3930	25000	398250000	7
3931	25000	398275000	7
3932	25000	398300000	7
3933	25000	398325000	7
3934	25000	398350000	7
3935	25000	398375000	7
3936	25000	398400000	7
3937	25000	398425000	7
3938	25000	398450000	7
3939	25000	398475000	7
3940	25000	398500000	7
3941	25000	398525000	7
3942	25000	398550000	7
3943	25000	398575000	7
3944	25000	398600000	7
3945	25000	398625000	7
3946	25000	398650000	7
3947	25000	398675000	7
3948	25000	398700000	7
3949	25000	398725000	7
3950	25000	398750000	7
3951	25000	398775000	7
3952	25000	398800000	7
3953	25000	398825000	7
3954	25000	398850000	7
3955	25000	398875000	7
3956	25000	398900000	7
3957	25000	398925000	7
3958	25000	398950000	7
3959	25000	398975000	7
3960	25000	399000000	7
3961	25000	399025000	7
3962	25000	399050000	7
3963	25000	399075000	7
3964	25000	399100000	7
3965	25000	399125000	7
3966	25000	399150000	7
3967	25000	399175000	7
3968	25000	399200000	7
3969	25000	399225000	7
3970	25000	399250000	7
3971	25000	399275000	7
3972	25000	399300000	7
3973	25000	399325000	7
3974	25000	399350000	7
3975	25000	399375000	7
3976	25000	399400000	7
3977	25000	399425000	7
3978	25000	399450000	7
3979	25000	399475000	7
3980	25000	399500000	7
3981	25000	399525000	7
3982	25000	399550000	7
3983	25000	399575000	7
3984	25000	399600000	7
3985	25000	399625000	7
3986	25000	399650000	7
3987	25000	399675000	7
3988	25000	399700000	7
3989	25000	399725000	7
3990	25000	399750000	7
3991	25000	399775000	7
3992	25000	399800000	7
3993	25000	399825000	7
3994	25000	399850000	7
3995	25000	399875000	7
3996	25000	399900000	7
3997	25000	399925000	7
3998	25000	399950000	7
3999	25000	399975000	7

